Date,Open,High,Low,Close,Adj_Close,Volume_in_mln
2023-04-01,4102.2,4133.13,4069.84,4108.94,4108.94,23006.69
2023-03-01,3963.34,4110.75,3808.86,4109.31,4109.31,113094.8
2023-02-01,4070.07,4195.44,3943.08,3970.15,3970.15,80392.28
2023-01-01,3853.29,4094.21,3794.33,4076.6,4076.6,80763.81
2022-12-01,4087.14,4100.96,3764.49,3839.5,3839.5,85249.33
2022-11-01,3901.79,4080.11,3698.15,4080.11,4080.11,92671.91
2022-10-01,3609.78,3905.42,3491.58,3871.98,3871.98,95823.76
2022-09-01,3936.73,4119.28,3584.13,3585.62,3585.62,94241.02
2022-08-01,4112.38,4325.28,3954.53,3955,3955,92252.35
2022-07-01,3781,4140.15,3721.56,4130.29,4130.29,81688.32
2022-06-01,4149.78,4177.51,3636.87,3785.38,3785.38,106116.71
2022-05-01,4130.61,4307.66,3810.32,4132.15,4132.15,108860.39
2022-04-01,4540.32,4593.45,4124.28,4131.93,4131.93,90367.84
2022-03-01,4363.14,4637.3,4157.87,4530.41,4530.41,123546.26
2022-02-01,4519.57,4595.31,4114.65,4373.94,4373.94,92667.71
2022-01-01,4778.14,4818.62,4222.62,4515.55,4515.55,95562.89
2021-12-01,4602.82,4808.93,4495.12,4766.18,4766.18,92750.18
2021-11-01,4610.62,4743.83,4560,4567,4567,88268.84
2021-10-01,4317.16,4608.08,4278.94,4605.38,4605.38,80253.6
2021-09-01,4528.8,4545.85,4305.91,4307.54,4307.54,85528.86
2021-08-01,4406.86,4537.36,4367.73,4522.68,4522.68,80500.76
2021-07-01,4300.73,4429.97,4233.13,4395.26,4395.26,84255.62
2021-06-01,4216.52,4302.43,4164.4,4297.5,4297.5,102544.18
2021-05-01,4191.98,4238.04,4056.88,4204.11,4204.11,88321.86
2021-04-01,3992.78,4218.78,3992.78,4181.17,4181.17,83124.09
2021-03-01,3842.51,3994.41,3723.34,3972.89,3972.89,122371.15
2021-02-01,3731.17,3950.43,3725.62,3811.15,3811.15,99082.32
2021-01-01,3764.61,3870.9,3662.71,3714.24,3714.24,106117.8
2020-12-01,3645.87,3760.2,3633.4,3756.07,3756.07,96375.68
2020-11-01,3296.2,3645.99,3279.74,3621.63,3621.63,101247.18
2020-10-01,3385.87,3549.85,3233.94,3269.96,3269.96,89938.98
2020-09-01,3507.44,3588.11,3209.45,3363,3363,92310.78
2020-08-01,3288.26,3514.77,3284.53,3500.31,3500.31,82466.52
2020-07-01,3105.92,3279.99,3101.17,3271.12,3271.12,96928.13
2020-06-01,3038.78,3233.13,2965.66,3100.29,3100.29,131458.88
2020-05-01,2869.09,3068.67,2766.64,3044.31,3044.31,107135.19
2020-04-01,2498.08,2954.86,2447.49,2912.43,2912.43,123608.16
2020-03-01,2974.28,3136.72,2191.86,2584.59,2584.59,162185.38
2020-02-01,3235.66,3393.52,2855.84,2954.22,2954.22,84436.59
2020-01-01,3244.67,3337.77,3214.64,3225.52,3225.52,77287.98
2019-12-01,3143.85,3247.93,3070.33,3230.78,3230.78,72325.54
2019-11-01,3050.72,3154.26,3050.72,3140.98,3140.98,72410.62
2019-10-01,2983.69,3050.1,2855.94,3037.56,3037.56,77720.64
2019-09-01,2909.01,3021.99,2891.85,2976.74,2976.74,74178.98
2019-08-01,2980.32,3013.59,2822.12,2926.46,2926.46,80269.22
2019-07-01,2971.41,3027.98,2952.22,2980.38,2980.38,70599.47
2019-06-01,2751.53,2964.15,2728.81,2941.76,2941.76,71250.63
2019-05-01,2952.33,2954.13,2750.52,2752.06,2752.06,77250.74
2019-04-01,2848.63,2949.52,2848.63,2945.83,2945.83,70090.37
