DATE,Adj_Close,M2,M2_adj,CPI,CPI_adj,unemployment,GDP,bank_borrow,asset_mean,Days_From_2000
2022-10-01,3871.98,21380.1,21424.4,0.405649443411221,297.987,3.7,26137.992,21.1,7941819.380196242,8309.0
2022-09-01,3585.62,21473.4,21523.3,0.215078451300104,296.539,3.5,25723.941,36.0,8816882.25,8279.0
2022-08-01,3955.0,21551.5,21658.7,-0.0354399276350673,295.32,3.7,25723.941,-3.6,8856209.8,8248.0
2022-07-01,4130.29,21577.8,21703.2,-0.0118119138337545,294.628,3.5,25723.941,27.7,8894233.75,8217.0
2022-06-01,3785.38,21578.6,21666.8,1.37360757588199,294.728,3.6,25248.476,18.8,8922724.6,8187.0
2022-05-01,4132.15,21552.3,21665.6,1.10235239995988,291.268,3.6,25248.476,14.5,8935539.75,8156.0
2022-04-01,4131.93,21849.0,21678.1,0.558253102565497,288.611,3.6,25248.476,-13.7,8949532.25,8126.0
2022-03-01,4530.41,21855.9,21697.7,1.33513795485627,287.472,3.6,24740.48,4.9,8933825.0,8095.0
2022-02-01,4373.94,21582.3,21570.3,0.913397925647697,284.61,3.8,24740.48,-12.3,8897595.5,8067.0
2022-01-01,4515.55,21628.4,21561.9,0.841457378354523,282.599,4.0,24740.48,-11.2,8820579.5,8036.0
2021-12-01,4766.18,21647.9,21550.4,0.307251716148357,280.887,3.9,24349.121,-29.6,8723909.4,8005.0
2021-11-01,4567.0,21323.7,21316.1,0.491342750434762,278.711,4.2,24349.121,7.1,8648682.25,7975.0
2021-10-01,4605.38,21088.3,21116.0,0.830811855200318,276.522,4.5,24349.121,14.8,8516524.5,7944.0
2021-09-01,4307.54,20922.0,20964.3,0.271597085905821,274.028,4.8,23550.42,1.7,8418612.4,7914.0
2021-08-01,4522.68,20749.0,20848.3,0.206591136361161,272.87,5.2,23550.42,7.1,8291893.25,7883.0
2021-07-01,4395.26,20556.2,20663.3,0.481052352629404,271.764,5.4,23550.42,15.5,8190356.75,7852.0
2021-06-01,4297.5,20431.6,20506.9,0.929066290235704,270.559,5.9,23046.934,-36.6,8026555.2,7822.0
2021-05-01,4204.11,20311.4,20432.4,0.80171051547627,268.444,5.8,23046.934,-27.7,7866893.25,7791.0
2021-04-01,4181.17,20263.6,20117.2,0.821890915406006,266.67,6.1,23046.934,16.2,7775974.0,7761.0
2021-03-01,3972.89,19940.5,19840.3,0.708327313374951,264.914,6.1,22313.85,6.4,7647908.2,7730.0
2021-02-01,3811.15,19518.8,19600.6,0.547438279392344,263.638,6.2,22313.85,35.5,7500084.0,7702.0
2021-01-01,3714.24,19366.9,19356.5,0.425378348702726,262.65,6.3,22313.85,-30.1,7372161.25,7671.0
2020-12-01,3756.07,19242.2,19114.0,0.0941478467042597,262.035,6.7,21704.706,-15.6,7319010.8,7640.0
2020-11-01,3621.63,18975.4,18949.3,-0.0610627217844138,260.813,6.7,21704.706,-18.8,7198114.0,7610.0
2020-10-01,3269.96,18684.8,18729.1,0.0414937759336148,260.286,6.9,21704.706,-11.9,7137411.5,7579.0
2020-09-01,3363.0,18538.7,18577.3,0.13927469432666,260.029,7.9,21362.428,-26.9,7048374.2,7549.0
